date,symbol,news_count,avg_sentiment
2023-09-13,USDJPY,6,0.477867
2023-09-13,AUDUSD,16,0.142900
2023-09-13,USDCAD,7,-0.074214
2023-09-13,XAUUSD,1,0.988200
2023-09-14,EURUSD,47,0.094472
2023-09-14,GBPUSD,17,0.128329
2023-09-14,USDJPY,2,0.777600
2023-09-14,AUDUSD,18,0.460628
2023-09-14,USDCAD,8,-0.059388
2023-09-14,XAUUSD,2,0.813750
2023-09-15,EURUSD,39,-0.080044
2023-09-15,GBPUSD,26,0.152815
2023-09-15,USDJPY,4,0.748925
2023-09-15,AUDUSD,15,0.327847
2023-09-15,USDCAD,10,-0.109420
2023-09-15,XAUUSD,2,0.714500
2023-09-16,EURUSD,5,-0.113660
2023-09-16,GBPUSD,3,-0.329000
2023-09-16,USDJPY,0,0.000000
2023-09-16,AUDUSD,2,-0.395000
2023-09-16,USDCAD,1,0.329100
2023-09-16,XAUUSD,1,0.985400
2023-09-17,EURUSD,3,-0.143633
2023-09-17,GBPUSD,1,0.000000
2023-09-17,USDJPY,0,0.000000
2023-09-17,AUDUSD,0,0.000000
2023-09-17,USDCAD,0,0.000000
2023-09-17,XAUUSD,0,0.000000
2023-09-18,EURUSD,29,-0.056383
2023-09-18,GBPUSD,29,0.185307
2023-09-18,USDJPY,5,0.143460
2023-09-18,AUDUSD,13,0.088277
2023-09-18,USDCAD,6,0.368233
2023-09-18,XAUUSD,0,0.000000
2023-09-19,EURUSD,45,0.078560
2023-09-19,GBPUSD,31,0.042619
2023-09-19,USDJPY,11,0.330191
2023-09-19,AUDUSD,20,0.213275
2023-09-19,USDCAD,17,0.037188
2023-09-19,XAUUSD,2,0.370100
2023-09-20,EURUSD,29,0.092614
2023-09-20,GBPUSD,34,0.125594
2023-09-20,USDJPY,8,0.692875
2023-09-20,AUDUSD,12,0.304333
2023-09-20,USDCAD,10,0.191170
2023-09-20,XAUUSD,3,0.488533
2023-09-21,EURUSD,42,0.103493
2023-09-21,GBPUSD,39,0.242369
2023-09-21,USDJPY,11,0.356373
2023-09-21,AUDUSD,14,-0.137107
2023-09-21,USDCAD,5,0.303400
2023-09-21,XAUUSD,0,0.000000
2023-09-22,EURUSD,40,-0.061462
2023-09-22,GBPUSD,27,0.028374
2023-09-22,USDJPY,19,0.213795
2023-09-22,AUDUSD,9,-0.075778
2023-09-22,USDCAD,10,0.467650
2023-09-22,XAUUSD,1,0.991000
2023-09-23,EURUSD,6,-0.051983
2023-09-23,GBPUSD,4,-0.296875
2023-09-23,USDJPY,0,0.000000
2023-09-23,AUDUSD,2,0.079500
2023-09-23,USDCAD,1,-0.381800
2023-09-23,XAUUSD,0,0.000000
2023-09-24,EURUSD,2,-0.318450
2023-09-24,GBPUSD,1,0.000000
2023-09-24,USDJPY,0,0.000000
2023-09-24,AUDUSD,0,0.000000
2023-09-24,USDCAD,0,0.000000
2023-09-24,XAUUSD,0,0.000000
2023-09-25,EURUSD,36,0.002369
2023-09-25,GBPUSD,24,-0.056429
2023-09-25,USDJPY,12,-0.041025
2023-09-25,AUDUSD,9,0.010244
2023-09-25,USDCAD,8,0.080025
2023-09-25,XAUUSD,0,0.000000
2023-09-26,EURUSD,30,-0.081283
2023-09-26,GBPUSD,26,-0.218765
2023-09-26,USDJPY,10,-0.063410
2023-09-26,AUDUSD,11,0.174709
2023-09-26,USDCAD,10,0.061080
2023-09-26,XAUUSD,0,0.000000
2023-09-27,EURUSD,37,-0.142276
2023-09-27,GBPUSD,24,-0.111663
2023-09-27,USDJPY,8,0.357700
2023-09-27,AUDUSD,13,0.324808
2023-09-27,USDCAD,9,-0.071289
2023-09-27,XAUUSD,1,0.987700
2023-09-28,EURUSD,36,-0.128997
2023-09-28,GBPUSD,19,0.065732
2023-09-28,USDJPY,8,0.184412
2023-09-28,AUDUSD,11,0.108382
2023-09-28,USDCAD,6,0.040200
2023-09-28,XAUUSD,2,0.667450
2023-09-29,EURUSD,32,0.183216
2023-09-29,GBPUSD,25,0.243732
2023-09-29,USDJPY,11,0.593400
2023-09-29,AUDUSD,13,0.217892
2023-09-29,USDCAD,8,0.414250
2023-09-29,XAUUSD,4,0.491050
2023-09-30,EURUSD,5,-0.232480
2023-09-30,GBPUSD,3,-0.228333
2023-09-30,USDJPY,0,0.000000
2023-09-30,AUDUSD,2,-0.143050
2023-09-30,USDCAD,1,-0.102700
